,,,,,,,,,,,,,,,,,,,Params,,,,Model,,,,,
Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,SibSp2,Parch2,Age_N,Log_fare,Male,Embark_S,Embark_C,Pclass_1,Pclass_2,Ones,,Column,Param1,Param2,,Linear1,Linear2,ReLU1,ReLU2,Preds,Loss
0,3,male,22,1,0,7.25,S,1,0,0.275,0.916453949,1,1,0,0,0,1,,SibSp,0.00,0.00,,0.06,0.12,0.06,0.12,0.18,0.03
1,1,female,38,1,0,71.2833,C,1,0,0.475,1.859037971,0,0,1,1,0,1,,Parch,0.03,0.00,,0.28,0.44,0.28,0.44,0.72,0.08
1,3,female,26,0,0,7.925,S,0,0,0.325,0.950608225,0,1,0,0,0,1,,Age_N,0.00,0.00,,0.06,0.12,0.06,0.12,0.19,0.66
1,1,female,35,1,0,53.1,S,1,0,0.4375,1.733197265,0,1,0,1,0,1,,Log_Fare,0.07,0.08,,0.20,0.37,0.20,0.37,0.57,0.18
0,3,male,35,0,0,8.05,S,0,0,0.4375,0.956648579,1,1,0,0,0,1,,Male,0.00,0.00,,0.06,0.13,0.06,0.13,0.19,0.04
0,1,male,54,0,0,51.8625,S,0,0,0.675,1.723147698,1,1,0,1,0,1,,Embark_S,0.00,0.00,,0.20,0.37,0.20,0.37,0.57,0.33
0,3,male,2,3,1,21.075,S,3,1,0.025,1.343900712,1,1,0,0,0,1,,Embark_C,0.07,0.06,,0.12,0.16,0.12,0.16,0.28,0.08
1,3,female,27,0,2,11.1333,S,0,2,0.3375,1.083978936,0,1,0,0,0,1,,Pclass_1,0.09,0.18,,0.14,0.14,0.14,0.14,0.28,0.52
1,2,female,14,1,0,30.0708,C,1,0,0.175,1.492352435,0,0,1,0,1,1,,Pclass_2,0.12,0.09,,0.29,0.32,0.29,0.32,0.62,0.15
1,3,female,4,1,1,16.7,S,1,1,0.05,1.247973266,0,1,0,0,0,1,,Ones,0.00,0.05,,0.12,0.15,0.12,0.15,0.27,0.54
1,1,female,58,0,0,26.55,S,0,0,0.725,1.440121603,0,1,0,1,0,1,,,,,,0.18,0.35,0.18,0.35,0.53,0.22
0,3,male,20,0,0,8.05,S,0,0,0.25,0.956648579,1,1,0,0,0,1,,,Total Loss,0.20,,0.06,0.13,0.06,0.13,0.19,0.04
0,3,male,39,1,5,31.275,S,1,5,0.4875,1.508866251,1,1,0,0,0,1,,,,,,0.27,0.18,0.27,0.18,0.45,0.20
0,3,female,14,0,0,7.8542,S,0,0,0.175,0.947149328,0,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.04
1,2,female,55,0,0,16,S,0,0,0.6875,1.230448921,0,1,0,0,1,1,,,,,,0.21,0.24,0.21,0.24,0.44,0.31
0,3,male,2,4,1,29.125,Q,4,1,0.025,1.478927056,1,0,0,0,0,1,,,,,,0.13,0.17,0.13,0.17,0.30,0.09
0,3,female,31,1,0,18,S,1,0,0.3875,1.278753601,0,1,0,0,0,1,,,,,,0.09,0.15,0.09,0.15,0.24,0.06
0,2,male,35,0,0,26,S,0,0,0.4375,1.431363764,1,1,0,0,1,1,,,,,,0.22,0.25,0.22,0.25,0.47,0.22
1,2,male,34,0,0,13,S,0,0,0.425,1.146128036,1,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.32
1,3,female,15,0,0,8.0292,Q,0,0,0.1875,0.955649273,0,0,0,0,0,1,,,,,,0.06,0.13,0.06,0.13,0.19,0.66
1,1,male,28,0,0,35.5,S,0,0,0.35,1.562292864,1,1,0,1,0,1,,,,,,0.19,0.36,0.19,0.36,0.55,0.20
0,3,female,8,3,1,21.075,S,3,1,0.1,1.343900712,0,1,0,0,0,1,,,,,,0.12,0.16,0.12,0.16,0.28,0.08
1,3,female,38,1,5,31.3875,S,1,5,0.475,1.510377426,0,1,0,0,0,1,,,,,,0.27,0.19,0.27,0.19,0.45,0.30
0,1,male,19,3,2,263,S,3,2,0.2375,2.421603927,1,1,0,1,0,1,,,,,,0.31,0.43,0.31,0.43,0.75,0.56
0,1,male,40,0,0,27.7208,C,0,0,0.5,1.458196533,1,0,1,1,0,1,,,,,,0.25,0.41,0.25,0.41,0.66,0.44
0,2,male,66,0,0,10.5,S,0,0,0.825,1.06069784,1,1,0,0,1,1,,,,,,0.20,0.22,0.20,0.22,0.42,0.18
0,1,male,28,1,0,82.1708,C,1,0,0.35,1.919970879,1,0,1,1,0,1,,,,,,0.29,0.45,0.29,0.45,0.73,0.54
0,1,male,42,1,0,52,S,1,0,0.525,1.72427587,1,1,0,1,0,1,,,,,,0.20,0.37,0.20,0.37,0.57,0.33
0,3,male,21,0,0,8.05,S,0,0,0.2625,0.956648579,1,1,0,0,0,1,,,,,,0.06,0.13,0.06,0.13,0.19,0.04
0,3,female,18,2,0,18,S,2,0,0.225,1.278753601,0,1,0,0,0,1,,,,,,0.09,0.15,0.09,0.15,0.24,0.06
1,3,female,14,1,0,11.2417,C,1,0,0.175,1.087841732,0,0,1,0,0,1,,,,,,0.14,0.20,0.14,0.20,0.34,0.43
0,3,female,40,1,0,9.475,S,1,0,0.5,1.020154032,0,1,0,0,0,1,,,,,,0.07,0.13,0.07,0.13,0.20,0.04
0,2,female,27,1,0,21,S,1,0,0.3375,1.342422681,0,1,0,0,1,1,,,,,,0.21,0.25,0.21,0.25,0.46,0.21
1,2,female,3,1,2,41.5792,C,1,2,0.0375,1.629197497,0,0,1,0,1,1,,,,,,0.37,0.34,0.37,0.34,0.71,0.09
1,3,female,19,0,0,7.8792,Q,0,0,0.2375,0.948373838,0,0,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.66
0,3,female,18,1,0,17.8,S,1,0,0.225,1.274157849,0,1,0,0,0,1,,,,,,0.09,0.15,0.09,0.15,0.24,0.06
0,3,male,7,4,1,39.6875,S,4,1,0.0875,1.609461006,1,1,0,0,0,1,,,,,,0.14,0.18,0.14,0.18,0.32,0.10
